# ----------------------------------------
# Все данные по веб-сайту
# Channels
# 20200402-20200702
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
Referral,"9,734","9,404","12,811",14.22%,2.83,00:01:36,0.00%,0,RUB 0.00
Direct,"1,852","1,797","2,620",19.73%,3.42,00:02:34,0.00%,0,RUB 0.00
Organic Search,"1,577","1,453","2,269",18.60%,2.99,00:02:36,0.00%,0,RUB 0.00
Social,842,751,"1,269",26.48%,3.77,00:02:44,0.00%,0,RUB 0.00
Email,146,131,270,20.00%,4.36,00:03:27,0.00%,0,RUB 0.00
(Other),32,27,55,27.27%,3.02,00:03:37,0.00%,0,RUB 0.00
,"14,183","13,563","19,294",16.41%,3.01,00:01:57,0.00%,0,RUB 0.00

Day Index,Users
4/2/20,507
4/3/20,308
4/4/20,204
4/5/20,140
4/6/20,191
4/7/20,164
4/8/20,149
4/9/20,205
4/10/20,208
4/11/20,169
4/12/20,200
4/13/20,297
4/14/20,218
4/15/20,212
4/16/20,276
4/17/20,234
4/18/20,149
4/19/20,179
4/20/20,249
4/21/20,200
4/22/20,170
4/23/20,201
4/24/20,200
4/25/20,159
4/26/20,156
4/27/20,205
4/28/20,165
4/29/20,157
4/30/20,214
5/1/20,177
5/2/20,149
5/3/20,132
5/4/20,141
5/5/20,150
5/6/20,174
5/7/20,174
5/8/20,157
5/9/20,102
5/10/20,126
5/11/20,135
5/12/20,162
5/13/20,173
5/14/20,170
5/15/20,165
5/16/20,114
5/17/20,105
5/18/20,180
5/19/20,204
5/20/20,172
5/21/20,203
5/22/20,214
5/23/20,147
5/24/20,141
5/25/20,243
5/26/20,208
5/27/20,206
5/28/20,181
5/29/20,160
5/30/20,135
5/31/20,140
6/1/20,201
6/2/20,178
6/3/20,187
6/4/20,164
6/5/20,346
6/6/20,174
6/7/20,122
6/8/20,188
6/9/20,257
6/10/20,247
6/11/20,162
6/12/20,100
6/13/20,83
6/14/20,124
6/15/20,321
6/16/20,229
6/17/20,215
6/18/20,172
6/19/20,141
6/20/20,95
6/21/20,95
6/22/20,121
6/23/20,169
6/24/20,142
6/25/20,139
6/26/20,152
6/27/20,97
6/28/20,127
6/29/20,145
6/30/20,135
7/1/20,105
7/2/20,143
,"16,402"
